# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2002696782
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.5796,0.819009,2.00331,2,3,0,30.9456,-0.0902116
-30.6063,0.978692,2.15879,2,3,0,30.6269,-0.219727
-30.6063,0.119835,3.66722,1,1,0,31.0499,-0.219727
-30.5637,0.998986,0.541968,2,7,0,30.6794,-0.181759
-30.5526,0.996788,0.977572,1,3,0,30.6057,-0.128336
-30.6135,0.966573,1.73532,2,3,0,30.6885,-0.0649824
-30.6135,0.00043616,2.8068,1,1,0,33.1023,-0.0649824
-30.9887,0.997556,0.319508,3,9,0,31.0323,0.0647428
-31.9465,0.937524,0.565573,1,3,0,33.1234,0.228933
-31.0454,0.997619,0.843706,2,5,0,32.0599,-0.367214
-31.2081,0.865676,1.46822,1,3,0,32.3443,0.111807
-30.5567,0.964615,1.78496,2,3,0,31.1464,-0.170651
-30.5567,0.0470586,2.80594,1,1,0,31.3262,-0.170651
-31.1306,0.983199,0.399829,3,9,0,32.239,-0.3856
-31.1124,1,0.662455,1,1,0,31.1521,-0.381798
-30.5503,0.971095,1.137,1,3,0,31.4791,-0.138434
-30.5566,0.997515,1.79786,1,1,0,30.5566,-0.118742
-30.6574,0.894573,3.01822,1,1,0,30.7093,-0.0410348
-30.6574,0.000167906,3.88247,1,1,0,30.8998,-0.0410348
-30.6464,1,0.535332,1,1,0,30.6572,-0.0464915
-30.639,0.999361,0.901749,3,7,0,30.6866,-0.239057
-31.0168,0.958635,1.5051,2,3,0,31.0299,0.0713409
-30.5505,1,2.25789,1,1,0,30.7359,-0.152529
-30.5505,9.35112e-09,3.72262,1,1,0,32.1264,-0.152529
-30.6583,0.994119,0.549875,2,5,0,30.7934,-0.0405848
-30.5506,0.986733,0.896318,1,3,0,30.8647,-0.152849
-32.3312,0.761612,1.42602,2,3,0,32.7829,-0.566622
-32.3312,3.41353e-05,5.30476,1,3,1,33.8666,-0.566622
-32.3312,0,12.3877,0,1,1,32.6212,-0.566622
-33.397,0.847998,1.22144,1,1,0,33.4434,-0.67813
-31.5662,1,0.848462,2,3,0,33.3345,-0.463395
-31.1384,1,1.11452,1,1,0,31.5118,-0.387198
-30.9146,1,1.71033,1,1,0,31.1457,-0.335591
-31.1921,0.929389,2.87598,1,3,0,31.1924,0.108681
-31.1921,1.91616e-09,4.09919,1,1,0,31.5136,0.108681
-31.9407,0.996452,0.323652,3,15,0,32.009,0.228165
-31.8078,0.998284,0.58721,2,3,0,32.0811,0.209901
-30.9223,0.997285,1.09243,2,3,0,31.8882,0.0482447
-30.85,1,2.04617,1,1,0,31.0167,0.0284951
-30.6286,0.613458,3.87911,1,3,0,30.6289,-0.233345
-30.6357,0.867094,2.18652,2,3,0,30.8994,-0.0520616
-30.6357,0.191811,2.74291,1,1,0,31.1942,-0.0520616
-30.6112,0.999821,0.424558,1,3,0,30.6512,-0.0664347
-30.55,0.999536,0.811861,2,7,0,30.6275,-0.147122
-30.5544,0.998816,1.54021,1,3,0,30.5561,-0.123598
-30.7392,0.851894,2.8918,1,1,0,30.7822,-0.00712026
-30.7392,0.121064,3.45986,1,1,0,30.8466,-0.00712026
-31.3498,0.991352,0.467421,3,9,0,31.5841,-0.42744
-30.5672,0.951517,0.856211,2,5,0,32.5834,-0.186226
-30.7407,0.783277,1.38239,2,3,0,32.4826,-0.282763
-30.6465,0.988979,1.35832,2,3,0,30.87,-0.242938
-30.6465,0.141522,2.41602,1,1,0,32.1213,-0.242938
-30.7159,0.997011,0.377999,3,9,0,31.1331,-0.0158827
-30.5745,0.999314,0.68892,3,7,0,30.7688,-0.0951529
-30.613,0.978092,1.25117,1,3,0,30.777,-0.224096
-30.5693,1,2.12065,1,1,0,30.6007,-0.188752
-30.5693,0.292659,3.78511,1,1,0,30.6394,-0.188752
-30.6653,0.993322,0.964314,2,3,0,30.6667,-0.252092
-31.088,0.771376,1.68512,2,3,0,32.1439,0.0872242
-30.5712,1,1.60477,2,3,0,31.028,-0.190817
-30.5712,0.0102257,2.81717,1,1,0,32.137,-0.190817
-30.7359,0.998353,0.355604,3,9,0,30.8598,-0.00833445
-31.5224,0.969471,0.623368,2,7,0,32.1831,-0.456454
-34.1214,0.834862,1.00443,2,3,0,34.3722,-0.742149
-31.4799,0.980982,1.13372,3,7,0,34.7627,0.160209
-31.0233,1,1.85879,2,3,0,31.3483,-0.362207
-31.2041,0.827863,3.17466,1,1,0,31.7935,-0.400388
-31.3805,0.306953,3.47937,1,3,0,31.4447,0.143455
-31.9843,0.944049,1.02946,2,3,0,32.3801,0.233954
-30.5797,0.97806,1.51745,2,3,0,32.141,-0.0900844
-30.5499,1,2.4192,1,1,0,30.5622,-0.144917
-30.5499,0.000361861,4.04277,1,1,0,31.2386,-0.144917
-30.8103,0.988755,0.585424,2,7,0,31.0911,0.0166593
-30.7848,0.976563,0.954433,2,3,0,31.2117,0.00855148
-30.8355,0.988246,1.50065,1,1,0,30.8782,0.0242623
-30.9884,0.911926,2.41093,1,1,0,31.1749,0.0646809
-30.569,1,3.21074,1,1,0,30.7261,-0.100984
-30.569,5.04259e-09,5.24173,1,1,0,30.9007,-0.100984
-30.7622,0.97647,0.817733,1,3,0,31.0034,0.00098379
-30.5558,0.985545,1.26684,1,3,0,30.9492,-0.168843
-30.5539,1,1.99263,2,3,0,30.5565,-0.164678
-30.5539,0.529509,3.22095,1,1,0,30.7196,-0.164678
-33.2117,0.500972,1.76847,1,3,0,33.4123,-0.660471
-33.5292,0.952721,0.916896,2,5,0,35.0134,0.401015
-33.4353,0.997295,1.32639,2,7,0,33.6285,-0.681702
-33.4353,0.134068,2.11042,1,1,0,36.9841,-0.681702
-30.6781,1,0.488556,3,11,0,33.393,-0.257855
-30.5607,0.972542,0.782154,3,7,0,31.7013,-0.177526
-30.5564,0.996173,1.17209,1,3,0,30.6023,-0.119152
-30.5754,0.993353,1.84066,1,1,0,30.5762,-0.0941901
-30.5754,0.325468,2.85766,1,1,0,31.054,-0.0941901
-31.4847,0.947873,1.04152,3,7,0,31.5782,-0.450344
-31.0545,1,1.4635,1,1,0,31.4228,-0.369252
-32.4213,0.475653,2.28988,1,1,0,32.7379,-0.577161
-31.6548,1,1.1692,2,3,0,32.3215,-0.47699
-31.0203,1,1.82232,2,3,0,31.4851,0.0721598
-31.0203,0.0137617,2.82636,1,1,0,32.1396,0.0721598
-30.5674,0.996983,0.554437,2,7,0,31.3363,-0.102864
-31.0409,0.947424,0.855794,2,7,0,31.7436,0.0768377
-30.9353,1,1.18661,1,1,0,31.0521,0.0515789
-31.4552,0.835311,1.82698,1,1,0,31.5329,0.156134
-31.4552,0.66957,1.99844,1,1,0,32.3326,0.156134
-31.4552,0.630856,1.55791,1,3,0,33.7198,0.156134
-31.276,1,1.12555,2,3,0,31.4748,0.124708
-30.8317,1,1.71778,2,3,0,31.1728,0.0231388
-30.7646,0.985893,2.61041,1,3,0,30.8053,-0.291152
-30.7646,0.000139207,3.84052,1,1,0,31.1324,-0.291152
-30.7402,1,0.79341,1,1,0,30.7672,-0.282588
-30.6793,1,1.20259,1,1,0,30.736,-0.258411
-30.939,0.915097,1.81538,1,1,0,30.9582,-0.341879
-30.5832,0.997609,2.31126,1,3,0,30.7479,-0.08703
-30.5832,0.132177,3.4482,1,1,0,31.0775,-0.08703
-30.5614,0.989814,0.955384,2,5,0,30.7527,-0.17852
-30.7634,0.977868,1.4044,2,3,0,30.7643,0.00138433
-30.6502,1,2.01029,2,3,0,30.7992,-0.24482
-30.6502,0.0199435,2.99218,1,1,0,32.1365,-0.24482
-31.2343,0.95684,0.685399,2,7,0,32.3387,0.116858
-31.2343,0.971824,0.941009,1,1,0,31.5174,0.116858
-30.6088,0.706439,1.32522,2,3,0,34.5138,-0.0679358
-30.6932,0.948443,1.12949,1,3,0,31.2064,-0.264331
-30.6016,1,1.51656,1,1,0,30.6722,-0.216557
-31.1015,0.850339,2.23591,2,3,0,31.1119,-0.379478
-31.1015,0.424874,2.48836,1,3,0,32.4053,-0.379478
-30.8305,1,1.25998,1,1,0,31.0584,-0.312152
-31.8197,0.858276,1.84962,2,3,0,31.8486,-0.500934
-30.815,1,2.08714,1,1,0,31.4571,-0.307458
-30.6544,1,3.04742,1,1,0,30.8265,-0.246877
-33.2973,0.515769,1.10888,1,3,0,33.3563,-0.668703
-33.2973,0,6.61374,0,1,1,33.3448,-0.668703
-31.9637,1,0.861031,1,1,0,33.078,-0.520592
-31.1884,0.850067,1.05098,2,3,0,33.2244,0.10794
-31.8868,0.555524,1.02286,2,3,0,35.7398,-0.510225
-30.5788,0.991691,0.444879,2,7,0,32.2512,-0.198447
-30.5582,0.995518,0.733604,3,7,0,30.6404,-0.173395
-30.9789,0.885215,1.28885,1,3,0,30.9976,0.0623798
-31.2997,0.796852,1.65,1,1,0,31.6634,0.12908
-31.2997,0.799138,1.61869,1,1,0,31.9711,0.12908
-30.5617,1,1.60998,1,1,0,30.8647,-0.110313
-30.5617,6.09082e-07,3.03481,1,1,0,30.9943,-0.110313
-31.0328,0.994085,0.245295,3,9,0,31.3548,-0.364362
-31.3302,0.975326,0.458433,2,3,0,31.632,-0.423938
-30.9544,1,0.805916,1,1,0,31.2706,-0.345754
-30.9544,0.226423,1.52262,2,3,0,32.5156,-0.345754
-31.9438,0.984372,0.264301,3,11,0,32.765,0.22858
-32.0228,0.995334,0.477155,1,1,0,32.0746,0.239013
-30.8173,0.786034,0.883773,2,3,0,34.6563,-0.308151
-30.6591,0.986458,0.864815,2,3,0,30.9696,-0.249125
-30.5526,1,1.53979,1,1,0,30.5937,-0.128352
-30.5526,0.00121644,2.82765,1,1,0,31.015,-0.128352
-30.6008,0.998622,0.275094,2,7,0,30.6719,-0.215967
-30.9847,0.984242,0.505665,2,7,0,30.9989,-0.353131
-30.7408,0.909364,0.882867,1,3,0,31.7833,-0.0065551
-32.2002,0.56167,1.23306,1,1,0,32.218,0.261461
-32.6375,0.954562,0.639596,1,1,0,32.6884,0.31211
-30.756,1,1.0115,2,3,0,32.2744,-0.288194
-30.999,0.814638,1.80158,1,1,0,31.2468,-0.356534
-30.999,7.8167e-06,1.90473,1,1,0,33.3849,-0.356534
-31.5929,0.994606,0.216136,3,15,0,31.9394,-0.467556
-30.9038,0.985894,0.378794,3,7,0,32.6046,-0.332752
-30.5716,0.988594,0.642519,1,3,0,31.1064,-0.191286
-31.2738,0.821664,1.08833,1,3,0,31.4565,0.124315
-31.4605,0.49526,1.17434,2,3,0,35.203,0.157011
-31.8759,0.974632,0.536482,2,3,0,32.1,0.219375
-31.2961,1,0.866451,1,1,0,31.7963,0.128417
-31.6967,0.896976,1.48313,2,3,0,31.8373,-0.483242
-30.6986,1,1.9323,1,1,0,30.8277,-0.0227803
-30.5504,1,3.2602,1,1,0,30.558,-0.151346
-30.5504,1.38547e-232,5.4573,1,1,0,32.6163,-0.151346
-30.6676,0.984628,0.735943,3,7,0,30.7363,-0.0362372
-30.5578,0.98641,1.18948,2,3,0,30.7305,-0.172802
-30.5578,0.00637809,1.91743,1,1,0,32.0427,-0.172802
-30.6725,0.989843,0.276329,2,7,0,31.4428,-0.255382
-30.55,0.999928,0.450722,3,7,0,30.6781,-0.147797
-30.6756,0.987871,0.74812,2,3,0,30.6756,-0.256757
-30.6756,0.258913,1.19769,1,3,0,34.1482,-0.256757
-30.608,0.998713,0.333853,1,3,0,30.7483,-0.220855
-30.6851,0.949979,0.547798,2,5,0,31.6589,-0.0284463
-30.7998,0.98128,0.795932,1,1,0,30.8014,0.0133695
-31.5476,0.7423,1.23815,1,1,0,31.603,0.171105
-30.8207,1,1.09825,1,1,0,31.3371,0.0198307
-30.8207,0.000205681,1.76981,1,1,0,33.4809,0.0198307
-30.5917,0.984899,0.285343,2,7,0,32.1281,-0.209273
-30.5504,0.999489,0.445281,2,7,0,30.6216,-0.13792
-30.551,0.991876,0.714183,3,7,0,30.6487,-0.134402
-30.6813,0.922786,1.11933,2,3,0,30.9175,-0.259257
-31.0814,0.79269,1.49444,1,1,0,31.1806,-0.375165
-30.6779,0.968956,1.4882,2,3,0,30.9443,-0.25779
-30.6779,0.352874,2.18907,1,1,0,31.1389,-0.25779
-30.5616,0.999857,0.826418,2,3,0,30.6812,-0.178829
-30.5563,0.85594,1.29906,2,3,0,30.8821,-0.169912
-31.7842,0.494466,1.48538,1,1,0,31.81,-0.495914
-31.65,0.998128,0.776116,3,7,0,31.8936,-0.476273
-31.0001,1,1.20629,2,3,0,31.5834,0.0674372
-30.621,1,1.873,1,1,0,30.6768,-0.228943
-30.621,0.000624488,2.89389,1,1,0,31.492,-0.228943
-30.7077,0.990118,0.537813,2,3,0,30.7943,-0.270261
-30.9081,0.965242,0.815446,2,3,0,31.1054,-0.333894
-30.637,0.725195,1.16838,2,3,0,32.1259,-0.237988
-30.7225,0.992501,1.01202,2,3,0,30.7321,-0.276014
-30.7225,0.782876,1.52645,1,1,0,31.0188,-0.276014
-30.7225,0.315637,1.48888,1,1,0,31.7483,-0.276014
-32.5076,0.795874,0.557846,1,3,0,34.2803,-0.587025
-32.3315,1,0.56169,1,1,0,32.5762,-0.566658
-30.8002,1,0.855361,2,7,0,32.0713,0.013495
-30.6696,0.981757,1.297,2,3,0,30.9179,-0.254042
-30.6696,0.0130197,1.88803,1,1,0,31.6402,-0.254042
-30.8597,0.981248,0.39549,4,15,0,31.5686,-0.320633
-32.15,0.933045,0.576294,2,5,0,32.2264,0.255237
-30.6896,1,0.760562,2,3,0,32.0676,-0.0265154
-30.5759,1,1.14206,1,1,0,30.6523,-0.0937608
-30.5759,0.00319592,1.70822,1,1,0,33.2345,-0.0937608
-30.5562,0.998642,0.364379,2,5,0,30.6565,-0.169707
-30.9888,0.932985,0.544379,1,3,0,31.7402,-0.354113
-32.1929,0.880952,0.71371,3,7,0,33.0612,-0.54992
-33.7451,0.749958,0.844465,1,1,0,33.7783,-0.709796
-31.7679,0.997201,0.776324,3,7,0,33.5767,0.204229
-30.6803,0.907277,1.14408,2,3,0,32.0388,-0.258847
-30.7089,0.970388,1.4166,2,3,0,30.7923,-0.0186078
-30.8308,0.884021,1.97231,1,1,0,31.0496,0.0228871
-30.5563,1,2.32748,1,1,0,30.6374,-0.119343
-30.5563,0.0300094,3.40782,1,1,0,30.5943,-0.119343
-30.5539,0.994551,0.815063,2,3,0,30.6046,-0.124611
-30.707,0.946578,1.18275,2,3,0,30.7797,-0.269972
-30.6608,1,1.56564,1,1,0,30.7541,-0.249958
-30.6608,0.0414444,2.28119,1,1,0,30.8463,-0.249958
-30.6525,1,0.571593,1,1,0,30.6658,-0.245943
-30.6534,0.999847,0.833648,1,1,0,30.6716,-0.246361
-30.8026,0.976127,1.2117,2,3,0,30.8481,0.0142486
-30.7645,0.753861,1.68195,2,3,0,30.9411,0.00175711
-31.9857,0.66301,1.55948,1,3,0,31.9941,-0.523498
-31.4878,1,1.22892,1,1,0,32.1122,-0.450856
-31.4878,0.19058,1.77304,1,1,0,31.8633,-0.450856
-33.7373,0.880721,0.602834,2,5,0,33.925,0.419747
-35.5549,0.79139,0.703677,1,1,0,35.5848,0.562603
-30.6533,1,0.700502,3,7,0,34.9347,-0.0430428
-30.8011,0.961786,1.00699,1,1,0,30.8078,0.0137618
-32.8047,0.387098,1.34988,1,1,0,32.8987,0.330044
-30.6884,0.945503,0.661166,1,3,0,33.9308,-0.027028
-30.751,0.929543,0.860926,1,3,0,31.2955,-0.286461
-30.6342,1,1.08823,2,3,0,30.7264,-0.236481
-30.6406,0.99868,1.55095,2,3,0,30.6455,-0.239872
-30.8325,0.78555,2.19958,1,1,0,31.0759,-0.312736
-30.8325,0.000177455,2.15845,1,1,0,31.631,-0.312736
-31.2888,0.940484,0.553208,2,5,0,32.164,0.12707
-31.79,0.936356,0.710415,1,1,0,31.7928,0.207379
-31.8699,0.997595,0.904271,2,7,0,31.8702,-0.507898
-30.9109,0.743807,1.2744,2,3,0,32.9475,0.0452673
-30.9109,0.721626,1.16814,1,1,0,31.5565,0.0452673
-30.6925,0.955431,1.03219,1,3,0,31.2266,-0.264048
-30.6925,0.801705,1.34996,1,1,0,30.9978,-0.264048
-30.7357,0.979323,1.3637,1,1,0,30.8039,-0.280947
-30.6307,1,1.85048,1,1,0,30.7504,-0.234539
-30.6307,0.467209,2.59302,1,1,0,30.6307,-0.234539
-30.9774,0.616805,1.50441,2,3,0,31.3453,0.0620396
-30.6026,0.975511,1.12046,1,3,0,31.0147,-0.217218
-30.5519,1,1.5056,1,1,0,30.5758,-0.158793
-30.5519,3.84507e-05,2.10154,1,1,0,32.5562,-0.158793
-30.5505,0.999425,0.574169,1,3,0,30.563,-0.136745
-30.6283,0.981876,0.801431,1,3,0,30.6954,-0.233218
-30.5532,0.964802,1.08493,2,3,0,30.8194,-0.126669
-30.5532,0.504103,1.42598,1,1,0,31.1711,-0.126669
-30.7024,0.98271,0.89202,2,3,0,30.7061,-0.268132
-31.1373,0.848579,1.20515,1,1,0,31.1645,-0.386974
-31.1938,0.975018,1.31162,1,1,0,31.4536,-0.398373
-31.2559,0.95205,1.74494,1,1,0,31.7834,-0.410321
-31.2559,0.395426,2.23423,1,1,0,32.4915,-0.410321
-30.5522,1,1.1837,1,3,0,31.0218,-0.159901
-30.8632,0.805829,1.63412,1,1,0,30.8735,0.0322831
-32.0573,0.425588,1.65893,1,1,0,32.4715,0.24348
-31.5016,1,0.92768,1,1,0,32.0317,0.163743
-30.5595,1,1.27777,1,3,0,31.1032,-0.113694
-30.5595,0.40376,1.75654,1,1,0,30.9555,-0.113694
-31.0054,0.927357,0.954305,2,3,0,31.1568,0.0686961
-32.4247,0.767146,1.17099,2,3,0,32.8918,-0.577554
-32.4247,0.700425,1.12052,1,1,0,33.6151,-0.577554
-30.5639,0.993429,0.967755,1,3,0,32.3223,-0.182019
-32.1474,0.655602,1.31178,1,3,0,32.1827,0.254913
-31.2013,1,1.05818,2,3,0,31.9389,0.110472
-32.028,0.638105,1.44581,1,1,0,32.4111,0.239682
-30.5523,1,1.13671,1,3,0,31.6236,-0.129259
-30.5528,0.999668,1.54995,1,1,0,30.5544,-0.127623
-30.5565,0.99579,2.10857,1,1,0,30.562,-0.119072
